,0
Day Mins,0.10080866400788047
Day Charge,0.09108129009584892
Night Charge,0.07976908848132523
Eve Mins,0.07694788053541284
Eve Charge,0.0769230764302524
Night Mins,0.07185270893716449
Intl Mins,0.07048037693942935
Day Calls,0.06601244092846496
Night Calls,0.0658916714016123
Account Length,0.06578242373551274
Eve Calls,0.06534495678705486
Intl Charge,0.06489631709857678
VMail Message,0.035979385831550866
Intl Calls,0.034812035120280006
CustServ Calls,0.03341768366963399
